2022-06-07 14:58:41.868 WARN  [main][DialectDetector:99] Liferay is configured to use Hypersonic as its database. Do NOT use Hypersonic in production. Hypersonic is an embedded database useful for development and demonstration purposes. The database settings can be changed in portal-ext.properties.
2022-06-07 14:58:41.868 INFO  [main][DialectDetector:159] Using dialect com.liferay.portal.dao.orm.hibernate.HSQLDialect for HSQL Database Engine 2.3
2022-06-07 14:58:46.965 INFO  [main][ModuleFrameworkImpl:1602] Starting initial bundles
2022-06-07 14:58:52.948 INFO  [main][ModuleFrameworkImpl:1896] Started initial bundles
2022-06-07 14:58:52.948 INFO  [main][ModuleFrameworkImpl:1949] Starting dynamic bundles
2022-06-07 14:59:21.130 INFO  [main][ModuleFrameworkImpl:1971] Started dynamic bundles
2022-06-07 14:59:21.130 INFO  [main][ModuleFrameworkImpl:1978] Starting web bundles
2022-06-07 14:59:28.609 INFO  [main][ModuleFrameworkImpl:2032] Started web bundles
2022-06-07 14:59:28.609 INFO  [main][ModuleFrameworkImpl:408] Navigate to Control Panel > System > Gogo Shell and enter "lb" to see all bundles
2022-06-07 14:59:29.296 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 14:59:29.390 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 94 ms
2022-06-07 14:59:40.151 WARN  [main][SidecarManager:111] Liferay automatically starts a child process of Elasticsearch named sidecar for convenient development and demonstration purposes. Do NOT use sidecar in production. Refer to the documentation for details on the limitations of sidecar and instructions on configuring a remote Elasticsearch connection in the Control Panel.
2022-06-07 15:00:06.535 INFO  [main][Sidecar:119] Sidecar Elasticsearch liferay started at 127.0.0.1:9201
2022-06-07 15:01:07.228 INFO  [main][StartupHelperUtil:109] There are no patches installed
2022-06-07 15:01:07.293 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.events.StartupHelperUtil#initResourceActions
2022-06-07 15:01:07.348 INFO  [main][LoggingTimer:44] Completed com.liferay.portal.events.StartupHelperUtil#initResourceActions in 55 ms
2022-06-07 15:01:08.576 INFO  [main][AutoDeployDir:206] Auto deploy scanner started for C:\liferay\liferay-ce-portal-7.3.7-ga8\deploy
2022-06-07 15:01:09.937 INFO  [main][ThemeHotDeployListener:108] 1 theme for speedwell-theme is available for use
2022-06-07 15:01:10.302 INFO  [main][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2022-06-07 15:01:10.433 INFO  [main][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
